COD_ORACLE;UBICACION ;TIPO;DESCRIPCION ;COD_ACTIVO ;ESTADO;FABRICANTE;PAIS_ORIGEN ;AÑO_FABRICACION ;MODELO;SERIE;PESO;VOLTAJE (V);POTENCIA (KW);CONSUMO (KW);CONEXION
MQ35310;CARTON;FORMADO DE VASOS;HIGH SPEED INTELLIGENT  PAPER CUP MACHINE;122283;ACTIVO;NewTop;CHINA;2022;DEBAO-138S;118S210420-05;3400;380;----;----;Transformado secundario 440v a 380v (Serie 23044371)
MQ35300;CARTON;FORMADO DE VASOS;HIGH SPEED INTELLIGENT  PAPER CUP MACHINE;121627;ACTIVO;NewTop;CHINA;2022;DEBAO-138S;118S210420-04;3400;380;----;----;Transformado secundario 440v a 380v (Serie 23044371)
MQ35234;CARTON;FORMADORA DE CAJAS DE CARTON;PAPER CARTON ERECTING FORMING MACHINE;121342;ACTIVO;Kunshan Plastic Machinery Manufacturing;CHINA;44638;AYBOX600SL-2L;Colombia-2022-04;1800;380;----;----;Transformado secundario 440v a 380v (Serie 23044371)
MQ35235;CARTON;FORMADORA DE CAJAS DE CARTON;PAPER CARTON ERECTING FORMING MACHINE;122638;ACTIVO;Kunshan Plastic Machinery Manufacturing;CHINA;44638;AYBOX600SL-2L;Colombia-2022-03;1800;380;----;----;Transformado secundario 440v a 380v (Serie 23044371)
MQ35236;CARTON;FORMADORA DE CAJAS DE CARTON;PAPER CARTON ERECTING FORMING MACHINE;123027;ACTIVO;Kunshan Plastic Machinery Manufacturing;CHINA;44638;AYBOX600SL-2L;Colombia-2022-02;1800;380;----;----;Transformado secundario 440v a 380v (Serie 23044371)
MQ35237;CARTON;FORMADORA DE CAJAS DE CARTON;PAPER CARTON ERECTING FORMING MACHINE;122196;ACTIVO;Kunshan Plastic Machinery Manufacturing;CHINA;44638;AYBOX600SL-2L;Colombia-2022-01;1800;380;----;----;Transformado secundario 440v a 380v (Serie 23044371)
MQ35223;CARTON;CORTADORA LONGITUDINAL DE BOBINAS (SLITTER);PAPER SLITING MAGHNE;----;ACTIVO;RuiZe;CHINA;44552;JS-SR1600;G211129FQ;4000;380;----;----;Transformado secundario 440v a 380v (Serie 23044371)
MQ45510;CARTON;IMPRESORA FLEXOGRAFICA;DOWELL;120722;ACTIVO;DOWELL PRINTING EQUIPMENT CO., LTD;COREA;44886;MF-550S2;DW-M2211001;----;380;----;----;Transformado secundario 440v a 380v (Serie 23044371)
MQ35057;CARTON;CARTON FORMADO PLATOS;MINGLIANG ML600Y;121038;ACTIVO;WENZHOU MINGLIANG;CHINA;----;ML600Y;----;1600;380;----;----;Transformado secundario 440v a 380v (Serie 23044371)
MQ35221;CARTON;CARTON FORMADO BOWLS;HIGH SPEED INTELLIGENT PAPER CUP MACHINE DEBAO-1250S;120409;ACTIVO;Zhejiang New Debeo Machinery Co;CHINA;2021;DEBAO-1250S;1250S2003100-S;3400;380;----;----;Transformado secundario 440v a 380v (Serie 23044371)
MQ35222;CARTON;CARTON FORMADO BOWLS;HIGH SPEED INTELLIGENT PAPER CUP MACHINE DEBAO-5000S #2;----;ACTIVO;Zhejiang New Debeo Machinery Co;CHINA;2021;DEBAO-5000S;5000S210130-07;4500;380;----;----;Transformado secundario 440v a 380v (Serie 23044371)
MQ35220;CARTON;CARTON FORMADO BOWLS;HIGH SPEED INTELLIGENT PAPER CUP MACHINE DEBAO-5000S #1;122983;ACTIVO;Zhejiang New Debeo Machinery Co;CHINA;2021;DEBAO-5000S;5000S200120-18;4500;380;----;----;Transformado secundario 440v a 380v (Serie 23044371)
MQ35201;CARTON;FORMADO DE BOWLS ;FULL SERVO DRIVEN PAPER BOWL MACHINE;----;ACTIVO;XINZHITE;CHINA;45985;XZT-150W;2025 90;4200;440;----;----;Transformador principal TRF #1 1600 kVA, 440V (DE 34,5KV A 440V)
MQ35202;CARTON;TROQUELADORA AUTOMÁTICA;AUTOMATIC DIE PUNCHING MACHINE - CQ1000;----;ACTIVO;----;----;----;----;H-25N1107;----;440;----;----;Transformador principal TRF #1 1600 kVA, 440V (DE 34,5KV A 440V)
MQ35196;CARTON;CARTON FORMADO VASOS;FULL SERVO DRIVEN PAPER CUP MACHINE NEWSMART 200;138205;ACTIVO;Wenzhou Newsmart Machinery Co;CHINA;45545;Newsmart 200;2024106;3000;380;----;----;Transformador principal TRF #1 1600 kVA, 440V (DE 34,5KV A 440V)
MQ35203;CARTON;FORMADO DE VASOS;FULL SERVO DRIVEN PAPER CUP MACHINE;----;ACTIVO ;XINZHITE;CHINA;45985;XZT-150L;2025 89;3000;440;----;----;----
MQ035060;CARTON;TROQUELADORA DE CARTON;ZHEJIANG FEIDA MACHINERY;119903;INACTIVO;----;CHINA;2022;----;928;----;440;----;----;----
MQ035055;CARTON;TROQUELADORA DE CARTON;DAKIOU;120593;ACTIVO;ZHEJIANG RUIAN DAQIAO PACKAGING MACHINERY;CHINA;2021;PY-950H;MQJ200215;7800;380;----;----;----
MQ45600;CARTON;IMPRESORA OFFSET;BLANK OFFSET PRINTING M/C;120277;INACTIVO;CHANG DAE ENGINEERING;COREA;2022;OSPM-1100;CD-202205-HWI;----;380;----;----;----
